Po Name,Zip,latitude,Pop2001,Area,zip2,State,longitude,Sumblkpop
MT MEADOWS AREA,00012,40.2487,60,44.92381,12,CA,-120.959,147
WEST PIMA COUNTY,00014,32.1846,80,1231.60173,14,AZ,-113.026,83
CORONADO NTL FOREST,00015,32.3739,206,430.67881,15,AZ,-110.657,176
SEQUOIA NATIONAL FOREST,00016,35.51,8,124.15293,16,CA,-118.357,8
NORTHEAST FRESNO COUNTY,00017,37.1711,63,1168.75167,17,CA,-118.929,62
LOS PADRES NTL FOREST,00018,34.6121,262,642.49375,18,CA,-119.08,171
LASSEN NTL FOREST,00019,40.8317,3909,1443.5062,19,CA,-120.319,3923
SIERRA NATIONAL FOREST,00020,37.5979,0,414.3084,20,CA,-119.275,0
JACKSON ST FOREST,00022,39.4535,78,146.23037,22,CA,-123.61,78
EAST TULARE COUNTY,00026,36.2504,1052,2280.76779,26,CA,-118.463,1056
PIKE NTL FOREST,00027,38.8827,423,58.56489,27,CO,-104.974,197
PLUMAS NTL FOREST,00028,40.0043,256,877.76809,28,CA,-120.886,259
TAHOE NATIONAL FOREST,00029,39.4791,34,23.50086,29,CA,-121.11,34
LASSEN NATIONAL FOREST,00031,40.3773,0,67.95727,31,CA,-121.131,0
LOS PADRES NTL FOREST,00032,34.7564,728,970.44641,32,CA,-119.776,689
TAHOE NATIONAL FOREST,00033,39.5464,611,345.78188,33,CA,-120.27,594
KLAMATH NATIONAL FOREST,00034,41.9439,241,287.65789,34,CA,-123.184,246
MODOC/SHASTA/KLAMATH FOR,00035,41.4665,145,1107.24594,35,CA,-121.796,146
WEST TEHAMA COUNTY,00037,40.0688,298,756.47941,37,CA,-122.751,288
EAST TEHAMA COUNTY,00038,40.143,79,638.91606,38,CA,-121.711,79
SOUTHEAST TRINITY COUNTY,00039,40.328,1003,1051.28917,39,CA,-123.177,988
YOSEMITE NTL PARK,00040,37.9785,26,573.36552,40,CA,-119.614,27
WEST BROWARD COUNTY,00041,26.1628,0,803.32126,41,FL,-80.6161,0
SOUTHWEST BREVARD CNTY,00042,27.9968,180,231.56838,42,FL,-80.7936,176
EVERGLADES,00043,25.5797,188,1128.44886,43,FL,-80.6947,167
SOUTH ALPINE COUNTY,00044,38.5173,271,460.3316,44,CA,-119.831,273
SOUTHEAST MARION CNTY,00045,29.094,83,119.40727,45,FL,-81.7347,79
WEST GLENN COUNTY,00047,39.6296,162,316.68757,47,CA,-122.734,163
MENDOCINO NTL FOREST,00048,39.3271,130,408.4265,48,CA,-122.809,135
SIX RIVERS NATIONAL FORE,00049,41.5655,56,316.12006,49,CA,-123.774,56
SIX RIVERS NTL FOREST,00050,41.2223,188,370.39884,50,CA,-123.617,192
ELDORADO NTL FOREST,00051,38.8961,36,339.4351,51,CA,-120.365,36
ELDORADO NTL FOREST,00052,38.6543,0,148.52444,52,CA,-120.301,0
SOUTHWEST PALM BEACH CO,00053,26.476,22,778.34037,53,FL,-80.5571,20
SIX RIVERS NTL FOREST,00054,40.9563,236,487.60095,54,CA,-123.771,236
TRINITY NTL FOREST,00055,40.9758,110,364.59869,55,CA,-123.249,112
SNAKE RIV BIRDS OF PREY,00056,43.2416,27,335.15295,56,ID,-116.188,25
CHANNEL ISLANDS NATIONAL PK,00057,33.9953,6,196.53041,57,CA,-119.944,7
YOSEMITE NTL PARK,00058,37.6615,1121,251.88694,58,CA,-119.57,1129
VOYAGEURS NATL PARK,00059,48.408,65,387.73093,59,MN,-92.7802,20
SUPERIOR NATIONAL FOREST,00060,48.117,37,662.8281,60,MN,-92.1379,30
CHANNEL IS AIR GUARD STATION,00061,33.2476,0,22.94635,61,CA,-119.505,0
BENTON LAKE NWR,00063,47.6703,3,17.20713,63,MT,-111.332,3
SANDOVAL COUNTY,00064,35.6742,2191,1535.48977,64,NM,-106.948,2124
PLUMAS NATIONAL PARK,00065,39.6392,59,196.49823,65,CA,-120.81,59
WHITE SANDS MISSILE RNGE,00066,32.7371,22,650.16976,66,NM,-106.524,23
N CENTRAL COMANCHE CNTY,00067,34.731,784,281.35475,67,OK,-98.6112,788
SIUSLAW NTL FOREST,00068,44.1908,68,69.86194,68,OR,-123.906,70
WILLAMETTE NATIONAL FOR,00069,43.8511,88,1244.73994,69,OR,-122.271,118
MT HOOD NATIONAL FOREST,00070,45.0892,512,682.17066,70,OR,-121.983,503
UINTA NTL FOREST,00071,40.0335,956,853.57765,71,UT,-111.369,960
NATIONAL FOREST/PARK,00072,48.8168,116,1377.85063,72,WA,-121.36,121
USDOE HANFORD SITE,00073,46.5168,5,428.0426,73,WA,-119.533,4
YAKIMA INDIAN RES,00074,46.2379,500,1583.75693,74,WA,-120.922,428
YELLOWSTONE NATL PARK,00075,44.938,63,247.76542,75,MT,-110.792,61
OKANOGAN NATL PARK,00076,48.8402,30,733.72343,76,WA,-120.409,46
WILLAMETTE NATL FOREST,00077,44.4549,153,1068.15828,77,OR,-122.208,152
YELOWSTONE,00078,44.3057,0,56.93614,78,ID,-111.073,0
LAKE MEMPHREMAGOG,00082,44.9817,10,8.12703,82,VT,-72.2188,13
CENTRAL PARK,00083,40.7824,17,1.38192,83,NY,-73.9656,18
HOFFMAN FOREST,00084,34.8891,18,47.98008,84,NC,-77.4217,18
NW INDIAN RIVER COUNTY,00087,27.7402,3,144.16371,87,FL,-80.7496,3
EVERGLADES-MONROE COUNTY,00097,25.6499,4,530.11214,97,FL,-81.0579,5
EVERGLADES-S MONROE CNTY,00098,25.3188,48,349.06132,98,FL,-81.0264,55
WASATCH NATIONAL FOREST,00100,40.7121,1489,145.24147,100,UT,-111.726,1093
MARSH ISLAND,00116,29.5606,0,114.16079,116,LA,-91.8688,0
TIMBALIER ISLANDS,00119,29.0829,0,6.71096,119,LA,-90.3992,0
RACCOON POINT ISLES,00120,29.0507,0,5.24936,120,LA,-90.7976,0
MISSISSIPPI DELTA,00121,29.1015,0,41.37438,121,LA,-89.1787,0
CHANDELEUR ISLANDS,00122,29.8798,0,9.29812,122,LA,-88.8463,0
NORTHWEST AROOSTOOK,00125,46.825,16,2515.64728,125,ME,-69.2008,17
NORTH FRANKLIN COUNTY,00126,45.2991,42,505.15006,126,ME,-70.6431,41
EAST HANCOCK COUNTY,00127,44.9393,168,486.33576,127,ME,-68.1441,164
