STRM	EMPLID	COMPLETION_TERM	cum_gpa	ext_org_id	descr50	Zipcode	latitude	longitude	OIRPSTerm
2084	02198408	 	3.188	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	02198408	 	3.125	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2094	02198408	 	3.443	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	02208104	2091	2	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2084	02208104	2091	2.533	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	01189198	 	4	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2084	01189198	 	3.914	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2094	01189198	 	3.815	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2084	01480512	2124	2.684	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2094	01480512	2124	2.348	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2104	01480512	2124	2.214	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2084	01497028	2111	2.595	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2094	01497028	2111	2.782	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2104	01497028	2111	3.038	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	01497028	2111	2.4	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	01189939	2091	1.912	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2084	01189939	2091	2.107	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	01340844	2094	3.5	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2094	01340844	2094	3.851	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	01619056	2091	2.5	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2084	01619056	2091	2.929	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	02215655	2094	2	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2084	02215655	2094	2.333	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2094	02215655	2094	2.35	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	01876355	2101	3.25	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2084	01876355	2101	3.3	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2094	01876355	2101	3.231	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	01677565	2121	3.083	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	01488401	 	0	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2084	02189955	2101	3.28	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2094	02189955	2101	3.019	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2084	02204962	2101	2.333	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2094	02204962	2101	2.431	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	01500200	2104	3.625	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2094	01500200	2104	3.791	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2104	01500200	2104	3.657	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	01097538	 	0	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	02447142	 	.25	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	01878136	2104	2.769	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2084	01878136	2104	2.897	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2094	01878136	2104	3.232	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2104	01878136	2104	3.213	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	01536760	 	2.9	18005722	Mesa Community College	85202	33.3851	-111.8724	Fall 2007
2074	02198664	2122	3	18005719	Eastern Arizona College	85552	32.8504	-109.7461	Fall 2007
2084	02198664	2122	2.692	18005719	Eastern Arizona College	85552	32.8504	-109.7461	Fall 2007
2094	02198664	2122	2.657	18005719	Eastern Arizona College	85552	32.8504	-109.7461	Fall 2007
2104	02198664	2122	2.667	18005719	Eastern Arizona College	85552	32.8504	-109.7461	Fall 2007
2114	02198664	2122	2.742	18005719	Eastern Arizona College	85552	32.8504	-109.7461	Fall 2007
2074	02402490	2101	3.786	18005719	Eastern Arizona College	85552	32.8504	-109.7461	Fall 2007
2084	02402490	2101	3.629	18005719	Eastern Arizona College	85552	32.8504	-109.7461	Fall 2007
2094	02402490	2101	3.603	18005719	Eastern Arizona College	85552	32.8504	-109.7461	Fall 2007
2104	02454398	2114	3.75	18005719	Eastern Arizona College	85552	32.8504	-109.7461	Fall 2007
2114	02454398	2114	3.6	18005719	Eastern Arizona College	85552	32.8504	-109.7461	Fall 2007
2074	02228697	 	3.786	18005719	Eastern Arizona College	85552	32.8504	-109.7461	Fall 2007
