strm	term	year
2074	Fall 2007	2008
2081	Spring 2008	2008
2082	Summer 1 2008	2008
2083	Summer 2 2008	2008
2084	Fall 2008	2009
2091	Spring 2009	2009
2092	Summer 1 2009	2009
2093	Summer 2 2009	2009
2094	Fall 2009	2010
2101	Spring 2010	2010
2102	Summer 1 2010	2010
2103	Summer 2 2010	2010
2104	Fall 2010	2011
2111	Spring 2011	2011
2112	Summer 2011	2011
2114	Fall 2011	2012
2115	Winter Intersession 2011	2012
2121	Spring 2012	2012
2122	Summer 2012	2012
2124	Fall 2012	2013
2125	Winter Intersession 2012	2013
2131	Spring 2013	2013
2132	Summer 2013	2013
2134	Fall 2013	2014
2135	Winter Intersession 2013	2014
2141	Spring 2014	2014
2142	Summer 2014	2014
2144	Fall 2014	2015
2145	Winter Intersession 2014	2015
2105	Winter 2010	2011
2151	Spring 2015	2015
2152	Summer 2015	2015
